Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71967305,1,"Saturday, April  6, 2013 16:35:36 UTC",38.8112,-122.8268,2.7,2.30,46,"Northern California"
ci,11280666,3,"Saturday, April  6, 2013 16:10:40 UTC",33.8023,-116.0918,2.9,3.40,72,"Southern California"
ak,10690137,2,"Saturday, April  6, 2013 16:09:10 UTC",65.2816,-151.4360,1.2,10.70,11,"northern Alaska"
ak,10690136,2,"Saturday, April  6, 2013 16:08:04 UTC",63.6546,-149.6112,1.0,119.00,24,"Central Alaska"
ak,10688858,2,"Saturday, April  6, 2013 16:00:53 UTC",62.5335,-151.2384,2.0,87.60,49,"Central Alaska"
nc,71070714,4,"Saturday, April  6, 2013 15:57:43 UTC",38.7677,-122.7217,2.0,2.10,32,"Northern California"
nc,71967280,3,"Saturday, April  6, 2013 15:57:27 UTC",38.7705,-122.7212,2.2,1.80,70,"Northern California"
us,b000g1a3,4,"Saturday, April  6, 2013 15:51:53 UTC",57.1716,-138.2755,3.7,21.90,33,"off the coast of Southeastern Alaska"
nc,71967275,1,"Saturday, April  6, 2013 15:49:25 UTC",38.7870,-122.7625,1.7,1.80,30,"Northern California"
ci,11280658,0,"Saturday, April  6, 2013 15:35:22 UTC",33.9135,-116.7100,1.7,14.40,97,"Southern California"
ci,11280650,0,"Saturday, April  6, 2013 15:32:22 UTC",33.6987,-116.1032,1.1,10.90,22,"Southern California"
ci,11280642,0,"Saturday, April  6, 2013 15:30:58 UTC",33.9203,-116.7095,1.1,15.80,45,"Southern California"
ci,11280634,0,"Saturday, April  6, 2013 15:30:13 UTC",33.9208,-116.7110,1.4,15.70,75,"Southern California"
ci,11280626,3,"Saturday, April  6, 2013 15:22:16 UTC",33.8020,-116.0933,2.6,3.40,70,"Southern California"
ci,11280618,0,"Saturday, April  6, 2013 15:12:59 UTC",33.8010,-116.0847,2.3,4.70,86,"Southern California"
ci,11280610,0,"Saturday, April  6, 2013 15:01:29 UTC",36.0190,-117.8047,2.0,1.70,11,"Central California"
ci,11280602,0,"Saturday, April  6, 2013 14:40:22 UTC",33.6437,-116.7585,1.5,14.50,74,"Southern California"
ci,11280594,0,"Saturday, April  6, 2013 14:36:47 UTC",33.8008,-116.0870,1.6,6.40,56,"Southern California"
uu,60018267,4,"Saturday, April  6, 2013 14:35:54 UTC",36.8358,-111.4985,2.8,10.70,17,"Arizona"
ak,10688822,2,"Saturday, April  6, 2013 14:30:45 UTC",61.2380,-147.6996,1.3,0.00,10,"Southern Alaska"
nc,71967230,0,"Saturday, April  6, 2013 14:27:13 UTC",38.6388,-122.8600,1.8,4.60,19,"Northern California"
nc,71967215,0,"Saturday, April  6, 2013 14:15:17 UTC",38.8423,-122.8307,1.2,2.40,16,"Northern California"
ak,10690132,2,"Saturday, April  6, 2013 14:13:47 UTC",66.1162,-161.5611,2.6,21.80,14,"northern Alaska"
nc,71967205,3,"Saturday, April  6, 2013 14:13:41 UTC",38.7933,-122.7922,2.5,1.50,83,"Northern California"
nc,71967200,0,"Saturday, April  6, 2013 14:11:50 UTC",38.7478,-122.6925,1.1,1.10, 7,"Northern California"
ci,11280562,0,"Saturday, April  6, 2013 13:55:33 UTC",36.0462,-117.9522,1.2,16.50,10,"Central California"
ak,10688804,3,"Saturday, April  6, 2013 13:50:26 UTC",61.4619,-140.4212,1.2,2.80,21,"Southern Yukon Territory, Canada"
ci,11280554,0,"Saturday, April  6, 2013 13:49:23 UTC",33.4832,-116.4208,1.1,9.50,39,"Southern California"
ak,10688793,2,"Saturday, April  6, 2013 13:49:01 UTC",64.4785,-147.9381,1.0,19.50,21,"Central Alaska"
nc,71967190,0,"Saturday, April  6, 2013 13:47:49 UTC",38.7443,-122.6947,1.4,1.20,14,"Northern California"
nc,71967185,0,"Saturday, April  6, 2013 13:47:15 UTC",38.7488,-122.7003,1.5,1.60, 8,"Northern California"
ci,11280546,0,"Saturday, April  6, 2013 13:47:14 UTC",33.7987,-116.0887,1.7,3.10,67,"Southern California"
ci,11280538,0,"Saturday, April  6, 2013 13:46:51 UTC",36.0460,-117.8638,2.3,0.20,35,"Central California"
ci,11280530,0,"Saturday, April  6, 2013 13:44:09 UTC",33.8022,-116.0857,1.6,4.40,47,"Southern California"
ak,10688791,2,"Saturday, April  6, 2013 13:44:02 UTC",63.1156,-150.0748,1.0,94.10,21,"Central Alaska"
ak,10688790,3,"Saturday, April  6, 2013 13:37:23 UTC",61.7477,-149.4855,1.0,36.70,25,"Southern Alaska"
ak,10688784,2,"Saturday, April  6, 2013 13:31:20 UTC",64.7836,-148.7836,1.4,11.00,29,"Central Alaska"
ak,10688783,2,"Saturday, April  6, 2013 13:27:02 UTC",63.2142,-150.6799,1.5,130.60,31,"Central Alaska"
ak,10688781,2,"Saturday, April  6, 2013 13:25:42 UTC",61.7136,-147.9924,1.3,14.20,28,"Southern Alaska"
nc,71967165,0,"Saturday, April  6, 2013 13:18:16 UTC",38.7937,-122.7930,1.1,1.20,17,"Northern California"
nc,71967155,2,"Saturday, April  6, 2013 12:53:02 UTC",37.5342,-119.4345,1.4,19.30,18,"Central California"
ci,11280498,0,"Saturday, April  6, 2013 12:36:18 UTC",33.2730,-116.2840,1.3,14.10,16,"Southern California"
us,b000g17s,8,"Saturday, April  6, 2013 12:27:56 UTC",-4.1935,142.4444,5.1,118.60,53,"New Guinea, Papua New Guinea"
us,b000g17r,7,"Saturday, April  6, 2013 12:27:01 UTC",-19.4630,-175.0608,5.1,77.40,69,"Tonga"
ak,10688763,3,"Saturday, April  6, 2013 12:15:20 UTC",63.0084,-150.4412,1.1,99.10,23,"Central Alaska"
ak,10688760,2,"Saturday, April  6, 2013 12:06:45 UTC",61.7228,-151.2267,1.7,76.50,44,"Southern Alaska"
us,b000g17k,5,"Saturday, April  6, 2013 12:06:26 UTC",-3.4090,138.5598,4.5,69.60,22,"Papua, Indonesia"
ci,11280482,0,"Saturday, April  6, 2013 12:05:52 UTC",36.0303,-117.5188,1.2,5.30,21,"Central California"
ak,10690119,2,"Saturday, April  6, 2013 11:48:41 UTC",61.3187,-151.7825,1.4,99.40,30,"Southern Alaska"
ci,11280458,0,"Saturday, April  6, 2013 11:46:08 UTC",36.0452,-117.8608,2.2,1.40,33,"Central California"
us,b000g171,9,"Saturday, April  6, 2013 11:26:07 UTC",34.8891,24.0853,5.3,35.00,83,"Crete, Greece"
uw,60515302,2,"Saturday, April  6, 2013 11:15:18 UTC",47.7483,-122.1707,1.1,26.70,27,"Seattle-Tacoma urban area, Washington"
ak,10688744,2,"Saturday, April  6, 2013 11:11:22 UTC",65.1039,-148.3273,1.0,15.40,21,"northern Alaska"
us,b000g16u,7,"Saturday, April  6, 2013 10:59:44 UTC",12.0668,-87.7951,4.9,47.70,81,"near the coast of Nicaragua"
us,b000g16s,7,"Saturday, April  6, 2013 10:55:42 UTC",-4.6538,153.1156,5.3,66.40,67,"New Ireland region, Papua New Guinea"
nc,71967135,0,"Saturday, April  6, 2013 10:55:13 UTC",36.5873,-121.1860,1.2,3.40, 6,"Central California"
